sensor_1,sensor_2,sensor_3
50.993428306022466,115.7627657653665,17.557455759902403
49.77408408245482,116.92859727703616,17.67951308623924
51.39660161335152,114.43756667954511,19.33995615681852
53.19789443744653,110.54367908185644,20.560032307981217
49.7341356653949,,17.24707898165317
49.784772861536055,111.4538800881003,19.5627666180919
53.46207260513822,112.92371793238539,19.78543888567708
51.8891116370083,115.79491315124454,21.686634074822425
49.46588278519064,117.02155721965794,19.857292090091107
51.54053436436965,113.99048797426514,20.794124774618144
49.579154121616135,114.26204221932969,20.51931232005086
49.625096908319875,118.45296915888763,18.314662183914873
51.091038713416275,114.50507906677797,21.35148612554904
46.8311014509999,120.30631477096662,20.650297406164608
47.258363229321574,114.32211446280914,21.029006096680398
49.634149142898245,108.05188914522829,
48.78357478996592,115.33460074055671,18.641351644331777
51.48823121676143,115.02473344251956,22.64936509365663
49.09417378285934,117.02729961458311,20.581299622406036
48.13608494493961,114.88487395676744,21.171752760962086
53.94244450080745,114.18630002788431,21.192599423292197
50.61003234956048,109.92319495001857,20.710402366275243
51.24706189058005,113.1539892996865,20.659571856462872
48.31291135376855,110.34282844120094,21.47487677566467
50.124025408024785,111.68944502947075,19.781166249371047
51.484999225195196,115.59804968942896,22.17911871910481
49.01150930976421,118.09270369339774,20.950545613006476
52.11521332297493,115.19055451799825,20.453444272294288
50.212838304082304,109.84033279055481,21.09967325835286
50.88100333147891,114.95411020248855,22.901227187173802
50.31122867725236,117.0308512885809,21.140919636056385
55.26942443932479,113.09037034591991,22.34295508856794
51.588074062301594,113.40428258769231,21.129475755882144
49.549820543626176,113.2296595697648,22.57609011193116
53.36047873971625,111.96455144675538,22.753498408456373
49.3238199301944,,23.77368647877665
52.23332371240815,113.59831501294491,21.953529114157448
47.94631572207117,113.92326041291363,22.641547954227175
49.25931265273906,110.38540939496315,22.19436131149497
52.35940451494041,112.65458030602996,23.604511300450604
53.49258018710848,116.46281186301798,21.703387606905416
52.408315444566554,112.84036716658777,23.169504534580106
51.88418022416833,118.97071446140411,22.259648707728847
51.563132537396704,112.48251571568554,22.429710446568563
49.258123502189044,113.65161046036438,22.525547580665037
50.82527021772551,116.23282680055978,22.81907221057112
51.39343502464712,109.33748008251408,22.533213469313942
54.478672915444925,109.22251552047517,23.072133823661662
53.101342087626115,109.5012870975813,24.41989294895114
48.93766257768127,116.60313811428784,
53.161507727699295,112.41291907196748,23.818856586214526
51.792730836087166,121.31813327251834,22.477403648855528
51.25856489953407,111.7759388977542,22.068142632840317
53.8852320647817,114.79545317632135,24.094625741629013
54.773305392103495,119.11939019404761,24.109835103851964
54.62324890857683,120.4508830642117,24.748458132609827
51.13159060136583,119.55390087730453,22.54615989969006
52.24089171968636,117.31128494551169,23.024418528237273
53.57108719664167,117.14116108104086,21.728771716771142
54.908846683045496,116.23133395008024,23.08986079118161
52.04855547515999,115.9139241832143,24.382476916158236
52.684684142145414,112.09902140284703,22.99719955963961
